 Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
207.5,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.0,766,786,801,784,305.62,80.62,69.38,74.38,3.63,6.09,6.59,6.05
207.52,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.0,766,786,801,784,305.62,80.62,69.38,69.38,3.63,6.09,6.59,6.15
207.53,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.0,766,786,800,785,306.88,78.75,61.88,69.38,3.66,6.07,6.64,6.15
207.55,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,785,308.75,76.88,61.88,67.5,3.64,6.06,6.63,6.21
207.57,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.1,766,786,800,785,309.38,76.25,61.25,66.88,3.64,6.06,6.57,6.21
207.58,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,785,310.62,76.88,64.38,68.12,3.63,6.07,6.5,6.18
207.6,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,785,310.62,76.25,56.88,63.75,3.6,6.07,6.43,6.15
207.62,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.1,766,786,800,785,310.62,76.25,56.88,51.88,3.6,6.07,6.43,6.11
207.63,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,785,311.88,66.88,45.62,51.88,3.59,6.09,6.38,6.11
207.65,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,785,310.62,60.0,41.25,47.5,3.6,6.09,6.38,6.1
207.67,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.1,766,786,800,784,310.0,51.88,38.12,41.88,3.63,6.09,6.43,6.11
207.68,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,786,800,784,307.5,47.5,36.88,41.88,3.64,6.09,6.49,6.18
207.7,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,786,800,784,307.5,49.38,41.25,45.62,3.67,6.09,6.56,6.24
207.72,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,786,800,784,307.5,49.38,41.25,44.38,3.67,6.09,6.56,6.3
207.73,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,787,800,784,306.88,50.62,38.75,44.38,3.72,6.09,6.6,6.3
207.75,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,787,800,784,305.62,48.75,35.62,41.25,3.72,6.06,6.63,6.35
207.77,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.4,800.2,766,787,800,784,304.38,45.62,30.62,38.12,3.73,6.07,6.64,6.38
207.78,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.5,800.2,766,787,800,784,303.12,41.25,27.5,33.75,3.73,6.07,6.63,6.4
207.8,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.2,766,787,800,784,301.25,36.88,26.25,31.88,3.72,6.06,6.59,6.36
207.82,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,301.25,36.88,26.25,32.5,3.72,6.06,6.59,6.31
207.83,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,300.0,36.25,27.5,32.5,3.7,6.07,6.53,6.31
207.85,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,298.75,38.12,27.5,32.5,3.66,6.07,6.45,6.24
207.87,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,297.5,44.38,38.75,42.5,3.64,6.07,6.38,6.15
207.88,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,298.75,53.75,55.0,58.75,3.63,6.09,6.34,6.09
207.9,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,300.0,63.75,64.38,69.38,3.63,6.09,6.33,6.06
207.92,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.1,766,787,801,784,300.0,63.75,64.38,70.0,3.63,6.09,6.33,6.1
207.93,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.1,766,787,801,784,301.25,70.62,65.0,70.0,3.64,6.09,6.34,6.1
207.95,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,303.12,74.38,66.88,72.5,3.64,6.11,6.35,6.12
207.97,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,305.62,76.25,67.5,73.12,3.66,6.11,6.37,6.15
207.98,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,306.88,78.75,67.5,72.5,3.67,6.11,6.41,6.18
208.0,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,308.75,80.0,73.12,75.62,3.7,6.09,6.46,6.22
208.02,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,308.75,80.0,73.12,93.75,3.7,6.09,6.46,6.28
208.03,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,311.88,88.12,89.38,93.75,3.72,6.09,6.51,6.28
208.05,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,787,801,784,315.0,92.5,85.0,91.88,3.72,6.09,6.55,6.31
208.07,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,788,800,784,316.88,91.88,73.75,80.0,3.72,6.09,6.56,6.34
208.08,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.2,766,788,800,784,318.12,88.12,66.88,72.5,3.72,6.09,6.55,6.31
208.1,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,787,800,784,318.75,81.88,58.75,64.38,3.7,6.07,6.54,6.3
208.12,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,787,800,784,318.75,81.88,58.75,55.62,3.7,6.07,6.54,6.28
208.13,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,787,800,784,318.75,73.75,51.25,55.62,3.67,6.07,6.52,6.28
208.15,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,787,800,784,316.88,66.25,44.38,48.12,3.66,6.09,6.47,6.22
208.17,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,787,800,784,315.62,58.75,36.88,41.25,3.64,6.11,6.41,6.19
208.18,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,788,800,784,313.12,50.62,30.62,35.0,3.63,6.12,6.33,6.12
208.2,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.2,766,788,800,784,310.62,44.38,28.75,32.5,3.6,6.14,6.26,6.09
208.22,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.1,766,788,800,784,310.62,44.38,28.75,24.38,3.6,6.14,6.26,6.05
208.23,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.1,766,788,800,784,308.75,36.88,21.25,24.38,3.6,6.15,6.2,6.05
208.25,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.1,766,788,800,784,306.25,36.25,25.62,29.38,3.57,6.19,6.11,6.03
