number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
31,0.016744394,43:34.4,53:10.3,0 days 00:09:35.901429,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_014334,COMPLETE
32,0.025481327,53:10.3,01:59.0,0 days 00:08:48.713441,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_015310,COMPLETE
33,0.017251997,01:59.0,11:01.5,0 days 00:09:02.482283,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_020159,COMPLETE
34,0.0094635,11:01.5,20:41.4,0 days 00:09:39.880183,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_021101,COMPLETE
35,0.027429625,20:41.4,30:08.3,0 days 00:09:26.926007,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_022041,COMPLETE
36,0.017720356,30:08.3,39:21.5,0 days 00:09:13.195962,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_023008,COMPLETE
37,0.012304129,39:21.5,50:55.0,0 days 00:11:33.446832,32,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_023921,COMPLETE
38,0.673186962,50:55.0,56:29.1,0 days 00:05:34.169399,32,128,0.01,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_025054,COMPLETE
39,0.011956963,56:29.1,08:18.4,0 days 00:11:49.298119,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_025629,COMPLETE
40,0.621881024,08:18.4,14:14.4,0 days 00:05:55.921563,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_030818,COMPLETE
41,0.010493332,14:14.4,24:42.9,0 days 00:10:28.510239,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_031414,COMPLETE
