number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
38,0.019660541,36:44.3,45:55.9,0 days 00:09:11.539269,32,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_223644,COMPLETE
39,0.073705199,45:55.9,01:06.7,0 days 00:15:10.785504,32,128,0.0001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_224555,COMPLETE
40,0.021671493,01:06.7,09:15.2,0 days 00:08:08.514589,128,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_230106,COMPLETE
41,0.00834623,09:15.2,23:19.9,0 days 00:14:04.757555,16,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_230915,COMPLETE
42,0.012593839,23:19.9,40:18.0,0 days 00:16:58.086923,16,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_232319,COMPLETE
43,0.013807885,40:18.0,52:57.8,0 days 00:12:39.786116,16,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_234018,COMPLETE
44,0.010451549,52:57.8,03:46.2,0 days 00:10:48.391325,32,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_235257,COMPLETE
45,0.01571412,03:46.2,19:59.2,0 days 00:16:12.994758,16,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_000346,COMPLETE
46,0.014874005,19:59.2,28:18.6,0 days 00:08:19.437461,64,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_001959,COMPLETE
47,0.012268832,28:18.6,38:58.2,0 days 00:10:39.604124,32,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_002818,COMPLETE
