Test_File,Target,MSE,MAE,R2,SMAPE
20210730_mask pellet_air,CO,0.0059,0.0659,0.9949,6.0853
20210730_mask pellet_air,CO2,0.0116,0.0867,0.998,4.2198
20210730_mask pellet_air,CH4,0.0096,0.0684,0.9943,7.067
20210730_mask pellet_air,H2,0.0172,0.1026,0.9966,1.9541
20210510_Mask pellet steam gasification,CO,0.0009,0.0255,0.998,3.5873
20210510_Mask pellet steam gasification,CO2,0.0013,0.0296,0.9962,4.7477
20210510_Mask pellet steam gasification,CH4,0.0018,0.0279,0.9987,1.9284
20210510_Mask pellet steam gasification,H2,0.0041,0.0455,0.9997,4.4613
22.04.07_co2 가스화 with AC,CO,0.0049,0.0414,0.9901,7.5966
22.04.07_co2 가스화 with AC,CO2,0.0368,0.0876,0.9985,14.3611
22.04.07_co2 가스화 with AC,CH4,0.0079,0.0504,0.9961,16.7644
22.04.07_co2 가스화 with AC,H2,0.0404,0.1614,0.9937,4.5146
220608_mask o2steam gasification_without ac,CO,0.002,0.0281,0.9988,28.7051
220608_mask o2steam gasification_without ac,CO2,0.0327,0.1252,0.9955,37.582
220608_mask o2steam gasification_without ac,CH4,0.0152,0.0555,0.998,40.4583
220608_mask o2steam gasification_without ac,H2,0.1476,0.0804,0.968,3.9747
22.06.02_mask air gasification without ac,CO,0.0008,0.0211,0.9986,4.5152
22.06.02_mask air gasification without ac,CO2,0.0024,0.0429,0.9989,9.873
22.06.02_mask air gasification without ac,CH4,0.0027,0.0371,0.9967,8.5328
22.06.02_mask air gasification without ac,H2,0.0023,0.0344,0.997,8.9663
20210520_mask pellet_steam 가스화,CO,0.0199,0.0261,0.9708,9.1098
20210520_mask pellet_steam 가스화,CO2,0.1255,0.0875,0.7821,9.7371
20210520_mask pellet_steam 가스화,CH4,0.0264,0.0325,0.9883,12.7782
20210520_mask pellet_steam 가스화,H2,0.4324,0.0704,0.9802,12.9685
22.05.25_mask co2 gasification without ac,CO,0.0003,0.0131,0.9783,8.1044
22.05.25_mask co2 gasification without ac,CO2,0.0111,0.1014,0.9993,9.4504
22.05.25_mask co2 gasification without ac,CH4,0.002,0.0315,0.9982,7.6618
22.05.25_mask co2 gasification without ac,H2,0.0012,0.0237,0.9961,7.8617
220608_mask o2steam gasification_without ac,CO,0.0431,0.0474,0.9746,32.5559
220608_mask o2steam gasification_without ac,CO2,0.1814,0.0578,0.9751,26.1527
220608_mask o2steam gasification_without ac,CH4,0.0343,0.0604,0.9955,39.6863
220608_mask o2steam gasification_without ac,H2,0.2063,0.0571,0.9552,10.5058
22.06.02_mask air gasification without ac,CO,0.0012,0.0271,0.9978,4.294
22.06.02_mask air gasification without ac,CO2,0.0021,0.0316,0.999,7.3532
22.06.02_mask air gasification without ac,CH4,0.0028,0.0356,0.9967,8.464
22.06.02_mask air gasification without ac,H2,0.0024,0.0374,0.9969,9.2434
20210520_mask pellet_steam 가스화,CO,0.0105,0.0233,0.9846,7.2532
20210520_mask pellet_steam 가스화,CO2,0.1129,0.0397,0.804,4.7824
20210520_mask pellet_steam 가스화,CH4,0.0082,0.0287,0.9964,12.614
20210520_mask pellet_steam 가스화,H2,0.0983,0.0591,0.9955,12.8643
22.04.07_co2 가스화 with AC,CO,0.003,0.0438,0.9939,6.0135
22.04.07_co2 가스화 with AC,CO2,0.0804,0.1643,0.9968,18.8073
22.04.07_co2 가스화 with AC,CH4,0.0173,0.0687,0.9914,16.9803
22.04.07_co2 가스화 with AC,H2,0.0427,0.127,0.9933,10.9741
220819_mask O2steam gasification without AC,CO,0.0014,0.0275,0.9995,32.7916
220819_mask O2steam gasification without AC,CO2,0.0013,0.0266,0.9999,75.8186
220819_mask O2steam gasification without AC,CH4,0.0051,0.0345,0.9995,77.8777
220819_mask O2steam gasification without AC,H2,0.0057,0.0562,0.9993,25.0038
20210609_mask pellet air 가스화_2차,CO,0.0043,0.0307,0.9968,9.7888
20210609_mask pellet air 가스화_2차,CO2,0.0784,0.0478,0.9868,20.64
20210609_mask pellet air 가스화_2차,CH4,0.0157,0.0342,0.9796,11.2089
20210609_mask pellet air 가스화_2차,H2,0.1091,0.042,0.9811,0.8479
20210510_Mask pellet steam gasification,CO,0.0003,0.0128,0.9993,2.9988
20210510_Mask pellet steam gasification,CO2,0.0021,0.0363,0.994,5.8747
20210510_Mask pellet steam gasification,CH4,0.0027,0.0392,0.9981,5.5824
20210510_Mask pellet steam gasification,H2,0.0049,0.0461,0.9997,6.4439
22.05.25_mask co2 gasification without ac,CO,0.0008,0.0258,0.9382,9.9482
22.05.25_mask co2 gasification without ac,CO2,0.0061,0.0737,0.9996,11.6198
22.05.25_mask co2 gasification without ac,CH4,0.0025,0.0393,0.9977,7.8879
22.05.25_mask co2 gasification without ac,H2,0.003,0.0484,0.9901,3.3412
220608_mask o2steam gasification_without ac,CO,0.0036,0.0271,0.9979,14.8398
220608_mask o2steam gasification_without ac,CO2,0.1437,0.0748,0.9803,41.4883
220608_mask o2steam gasification_without ac,CH4,0.0368,0.0528,0.9952,40.9924
220608_mask o2steam gasification_without ac,H2,0.1135,0.0668,0.9754,13.6821
22.06.02_mask air gasification without ac,CO,0.0017,0.0336,0.9969,4.8899
